COD;RUA;SAL;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;LAT;LONG
350600305000345;CRUZAMENTO DA RUA AVIADOR EDU CHAVES COM A RUA AVIADOR JOSÉ DE BARROS SILVA.;2553.05;;;;;-22.351948300;-49.0588612000
350600305000491;CRUZAMENTO DA AVENIDA AURELIANO CARDIA COM A RUA SERGIPE.;2551.37;;;;;-22.318973500;-49.0556085000
350600305000147;CRUZAMENTO DA RUA ALMEIDA BRANDÃO COM A AVENIDA RODRIGUES ALVES.;2550.73;;;;;-12.905107100;-38.4875839000
350600305000492;CRUZAMENTO DA ALAMEDA OCTÁVIO PINHEIRO BRIZOLLA - RUA  ANTÔNIO GARCIA.;2528.57;;;;;-22.318973500;-49.0556085000
350600305000505;CRUZAMENTO DO CÓRREGO DO CASTELO COM RODOVIA BAURU / MARÍLIA.;2495.03;;;;;-22.321418100;-49.1272217000
350600305000065;RUA MONSENHOR CLARO COM A AVENIDA DUQUE DE CAXIAS.;2410.57;;;;;-22.917980400;-45.4452641000
350600305000028; RUA MONSENHOR CLARO COM A RUA SETE DE SETEMBRO.;2384.07;;;;;-22.917980400;-45.4452641000
350600305000152;CRUZAMENTO DA RUA JOAQUIM FIDELIS COM A RUA JOAQUIM DA SILVA MARTHA.;2381.82;;;;;-22.327480100;-49.0622327000
350600305000301;CRUZAMENTO DA RUA AVIADOR EDU CHAVES COM A RUA DOUTOR ARMANDO PIERONI.;2380.82;;;;;-22.351948300;-49.0588612000
350600305000243;CRUZAMENTO DA RUA MARTINS DA SILVA COM A AVENIDA RODRIGUES ALVES.;2300.57;;;;;-7.132861800;-34.8480128000
350600305000245;CRUZAMENTO DA RUA ANTÔNIO CINTRA JÚNIOR COM A RUA MADRE CLÉLIA.;2259.99;;;;;-22.322111600;-49.0431900000
350600305000251;AVENIDA ORLANDO RANIERI PORTAO 2 - 3 - 4 E 5 NO PARQUE DAS CAMELIAS.;2244.20;;;;;-23.213206800;-47.4905442000
350600305000191;CRUZAMENTO DA RUA ALAGOAS COM A AVENIDA CRUZEIRO DO SUL.;2189.30;;;;;-22.858896500;-47.2023525000
350600305000078;RUA CASTRO ALVES COM A RUA SIQUEIRA CAMPOS.;2185.10;;;;;-11.393493500;-57.3196808000
350600305000120;CRUZAMENTO DA RUA HALIM AIDAR COM A RUA WENCESLAU BRAZ.;2177.00;;;;;-22.323902000;-49.1042892000
350600305000481;CRUZAMENTO DA RUA CHILE COM A RUA RIACHUELO.;2172.50;;;;;-12.976391700;-38.5140026000
350600305000165;CRUZAMENTO DA AVENIDA ANTÔNIO REQUENA NEVADO COM A RUA BRAZ DI FLORA.;2118.81;;;;;-22.334483600;-49.1063913000
350600305000039; RUA CORREIA JUNIOR COM A RUA PROFESSOR CARLOS GOMES PEIXOTO DE MELLO.;2089.99;;;;;-23.646449300;-46.6523708000
350600305000081;RUA DOUTOR SÍLVIO LUIZ DA COSTA COM A AVENIDA ELIAS MIGUEL MALUF.;2066.85;;;;;-22.328253200;-49.1000493000
350600305000023; RUA GUSTAVO MACIEL COM A RUA GENERAL MARCONDES SALGADO.;2059.74;;;;;-22.327207100;-49.0696333000
350600305000020; RUA AFONSO PENA COM A RUA ALTO PURUS.;2057.60;;;;;-30.056588600;-51.2172076000
350600305000296;CRUZAMENTO DA RUA DOUTOR JOSÉ RANIERI COM A AVENIDA RODRIGUES ALVES.;2051.89;;;;;-22.327419800;-49.0463734000
350600305000029; RUA QUINTINO BOCAIÚVA COM A RUA QUINZE DE NOVEMBRO.;2046.60;;;;;-25.406470900;-49.2501197000
350600305000235;ENTRONCAMENTO DA RODOVIA MARECHAL RONDON SP-300 COM O PROLONGAMENTO DA RUA WALTER SPOTTI.;2032.52;;;;;-22.299182100;-49.0620225000
350600305000096;CRUZAMENTO DA ALAMEDA VISTA ALEGRE COM A ALAMEDA DAS PRIMAVERAS.;2025.08;;;;;-23.185969400;-47.5403922000
350600305000116;CRUZAMENTO DA RUA D'ANNUNCIO CAMMAROSANO COM A RUA CÉSAR RODRIGUES FERREIRA.;2020.43;;;;;-22.335926200;-49.1080332000
350600305000520;CRUZAMENTO DA RUA NAOKI SHINOHARA COM A RUA NATAL FORNAZARI.;2016.67;;;;;-22.319765000;-49.0092803000
350600305000082;RUA BENEDITO ELEUTÉRIO COM A RUA PROFESSOR CARLOS GOMES PEIXOTO DE MELLO.;1973.76;;;;;-22.324280600;-49.0959802000
350600305000141;CRUZAMENTO DA RUA FLORESTA COM A RUA SANTA ROSA.;1970.93;;;;;-5.754535900;-35.2273028000
350600305000249;ASILO DOS VELHOS DE BAURU DA SOCIEDADE SÃO VICENTE DE PAULA - LOCALIZADO NA RUA JORGE PIMENTEL 2-5 (VILA VICENTINA).;1968.60;;;;;-23.213206800;-47.4905442000
350600305000058;RUA CAIAPÓS COM A RUA EZEQUIEL RAMOS.;1953.64;;;;;-20.419143800;-49.9478114000
350600305000117;CRUZAMENTO DA RUA BRAZ DI FLORA COM A RUA ANTÔNIO PONCE PAZ.;1941.29;;;;;-22.330917200;-49.0993496000
350600305000115;ENTRONCAMENTO DA RUA BERNARDINO DE CAMPOS COM A RUA MARA LUCIA VIEIRA.;1941.19;;;;;-23.735032400;-46.4079210000
350600305000076;RUA ÂNGELO DE MORAES COM A RUA PASCHOAL ABIUZZI.;1936.28;;;;;-22.338489000;-49.1040989000
